DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
301,0.277553
270,0.277553
265,0.277553
273,0.277553
128,0.277553
259,0.277553
293,0.277553
155,0.277553
36,0.277553
41,0.277553
131,0.277553
125,0.277553
276,0.277553
239,0.277553
89,0.9900009999999999
266,0.277553
192,0.277553
179,0.277553
7,0.277553
96,0.9900009999999999
163,0.277553
24,0.277553
63,0.277553
290,0.277553
150,0.277553
3,3.9260104
233,0.277553
235,0.277553
29,0.277553
228,0.277553
57,0.277553
250,0.277553
56,0.277553
103,0.277553
144,0.277553
60,0.277553
35,0.277553
285,0.277553
130,0.277553
102,0.9900009999999999
246,0.277553
70,0.277553
206,0.277553
272,0.277553
178,0.277553
9,0.277553
312,0.277553
122,0.277553
85,0.9900009999999999
280,0.277553
95,0.277553
148,0.277553
296,0.277553
135,0.277553
195,0.277553
151,0.277553
66,0.277553
53,0.277553
120,0.277553
158,0.277553
269,0.277553
204,0.277553
11,0.277553
42,0.277553
18,0.277553
76,0.9900009999999999
4,0.277553
221,0.277553
111,57.153351900000004
99,0.277553
78,0.9900009999999999
278,0.277553
240,0.277553
117,0.9900009999999999
263,0.277553
252,0.277553
200,123.19995300000001
47,0.277553
284,0.277553
46,0.277553
294,0.277553
30,0.277553
17,0.277553
31,0.277553
190,0.277553
199,0.277553
49,0.277553
59,0.277553
251,0.277553
2,3.9260104
308,0.984675
72,5.985849
298,0.277553
203,0.277553
306,0.277553
114,0.277553
222,0.277553
58,0.277553
6,0.277553
40,0.277553
139,0.277553
277,0.277553
50,0.277553
92,0.9900009999999999
189,0.277553
300,0.277553
55,0.277553
183,0.277553
161,0.277553
115,0.277553
242,0.277553
212,0.277553
81,0.9900009999999999
211,0.277553
112,0.277553
123,0.600653
245,0.277553
109,0.9900009999999999
37,0.277553
64,0.277553
309,286.64778400000006
22,4.7461118
133,0.277553
274,0.277553
248,0.277553
164,0.277553
132,0.277553
93,0.9900009999999999
79,2.835489
307,0.277553
169,0.277553
197,0.277553
106,0.9900009999999999
297,0.277553
86,0.9900009999999999
68,0.277553
45,0.277553
157,0.277553
229,0.277553
147,0.277553
39,0.277553
247,0.277553
218,0.277553
292,0.277553
219,0.277553
100,2.835489
187,0.277553
65,3.312146
201,0.277553
160,0.277553
264,0.277553
154,0.277553
44,0.277553
275,0.277553
67,0.277553
82,0.277553
69,0.277553
5,0.277553
84,0.9900009999999999
98,0.9900009999999999
227,0.277553
134,0.277553
174,0.277553
116,2.394025
188,0.277553
138,0.277553
249,0.277553
268,0.277553
283,0.277553
295,0.277553
119,0.277553
281,0.277553
310,1.6793129999999998
27,0.277553
194,0.277553
220,0.277553
214,0.277553
171,0.277553
54,0.277553
193,0.277553
170,0.277553
168,0.277553
302,0.277553
121,0.277553
181,0.277553
15,2.387043
80,0.277553
137,0.277553
177,0.277553
149,0.277553
28,0.277553
244,0.277553
215,0.277553
91,0.277553
304,0.277553
175,0.277553
143,0.277553
207,0.277553
184,0.277553
141,0.277553
94,0.277553
12,0.277553
62,0.277553
291,0.277553
217,0.277553
88,0.9900009999999999
13,0.277553
303,0.277553
8,0.277553
166,0.277553
118,0.277553
230,0.277553
110,0.277553
26,0.277553
226,0.277553
198,0.277553
87,0.9900009999999999
25,0.277553
173,0.277553
108,0.9900009999999999
73,0.277553
20,0.277553
159,0.277553
313,277.904346
51,0.277553
32,0.277553
77,0.9900009999999999
223,0.277553
282,0.277553
124,0.277553
289,0.277553
271,0.277553
256,0.277553
74,0.277553
21,0.277553
225,0.277553
61,0.277553
254,0.277553
182,0.277553
234,0.277553
191,0.277553
16,32.813119
90,0.9900009999999999
75,0.277553
105,0.277553
243,0.277553
107,0.9900009999999999
142,0.277553
43,0.277553
196,0.277553
97,0.9900009999999999
176,0.277553
71,0.277553
129,0.277553
136,0.277553
258,0.277553
267,0.277553
262,0.277553
153,0.277553
10,0.277553
261,0.277553
210,0.277553
231,0.277553
165,0.277553
127,0.277553
38,0.277553
238,0.277553
48,0.277553
152,0.277553
180,0.277553
224,0.277553
146,0.277553
34,0.277553
83,0.277553
255,0.277553
209,0.277553
287,0.277553
52,0.277553
33,0.277553
236,0.277553
232,0.277553
205,0.277553
104,2.835489
23,0.277553
156,0.277553
126,0.277553
299,0.277553
286,0.277553
213,0.277553
113,0.277553
216,0.277553
257,0.277553
279,0.277553
14,62.735875
101,2.835489
311,0.277553
167,0.277553
202,0.277553
260,0.277553
305,0.277553
162,0.277553
185,0.277553
145,0.277553
253,0.277553
241,0.277553
1,0.277553
140,0.277553
237,0.277553
186,0.277553
172,0.277553
288,0.277553
19,0.277553
208,0.277553
